model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs,Category
Prophet,Y63,149.27,85.47,60274.7,0,Macro
Last Value,Y64,13.38,14.67,9693.5,0,Macro
Mean Value,Y64,42.41,34.85,24244.97,0,Macro
Random Walk,Y64,11.18,12.13,7998.58,0,Macro
Arima,Y64,19.36,21.74,14607.9,0,Macro
Theta,Y64,89.22,61.55,42450.4,0,Macro
Prophet,Y64,88.09,61.07,42239.46,0,Macro
Last Value,Y65,12.86,14.34,7269.1,0,Macro
Mean Value,Y65,48.47,38.78,21599.57,0,Macro
Random Walk,Y65,13.63,15.11,7240.26,0,Macro
Arima,Y65,15.05,16.9,8654.18,0,Macro
Theta,Y65,111.92,71.7,39485,0,Macro
Prophet,Y65,9.86,9.83,5325.73,0,Macro
Last Value,Y66,13.74,12.66,9033,0,Macro
Mean Value,Y66,52.5,41.48,28831.1,0,Macro
Random Walk,Y66,9.25,9.89,5507.4,0,Macro
Arima,Y66,4.19,4.05,2514.87,0,Macro
Theta,Y66,115.38,73.17,50535.9,0,Macro
Prophet,Y66,7.1,6.83,3242.08,0,Macro
Last Value,Y67,10.33,9.78,6575.4,0,Macro
Mean Value,Y67,67.04,50.19,33452.86,0,Macro
Random Walk,Y67,11.27,10.57,7129.6,0,Macro
Arima,Y67,20.79,18.63,12533.47,0,Macro
Theta,Y67,141.21,82.77,55115.4,0,Macro
Prophet,Y67,131.29,79.24,52782.4,0,Macro
Last Value,Y68,6.42,6.13,4044.6,0,Macro
Mean Value,Y68,64.19,48.56,31158.65,0,Macro
Random Walk,Y68,28.94,24.31,15930.98,0,Macro
Arima,Y68,12.03,11.24,7327.85,0,Macro
Theta,Y68,136.57,81.08,52003.6,0,Macro
Prophet,Y68,93.48,63.48,40706.96,0,Macro
Last Value,Y69,11.19,10.43,7254.5,0,Macro
Mean Value,Y69,44.41,36.25,24546.84,0,Macro
Random Walk,Y69,10.21,9.53,4363.42,0,Macro
Arima,Y69,7.15,6.81,4024.62,0,Macro
Theta,Y69,77.73,55.84,37386.5,0,Macro
Prophet,Y69,2.07,2.06,1409.15,0,Macro
Last Value,Y70,17.29,15.61,11667.6,0,Macro
Mean Value,Y70,54.41,42.6,30860.08,0,Macro
Random Walk,Y70,24.03,20.04,15319.86,0,Macro
Arima,Y70,19.27,17.22,12854.82,0,Macro
Theta,Y70,143.02,83.39,59730.9,0,Macro
Prophet,Y70,133.82,80.12,57572.29,0,Macro
Last Value,Y71,9.65,9.42,5986.8,0,Macro
Mean Value,Y71,27.94,24.13,15541.8,0,Macro
