model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs,Category
Last Value,Y4573,5.86,5.64,690.0,0,Micro
Mean Value,Y4573,13.62,12.71,1539.0,0,Micro
Random Walk,Y4573,5.41,5.58,558.21,0,Micro
Arima,Y4573,14.75,13.66,1657.69,0,Micro
Theta,Y4573,34.18,29.0,3510.0,0,Micro
Prophet,Y4573,10.05,10.59,1271.89,0,Micro
Last Value,Y4574,4.75,4.57,2030.0,0,Micro
Mean Value,Y4574,4.12,4.17,1770.0,0,Micro
Random Walk,Y4574,5.57,5.35,2276.0,0,Micro
Arima,Y4574,7.46,7.1,3126.27,0,Micro
Theta,Y4574,2.23,2.22,830.0,0,Micro
Prophet,Y4574,4.94,4.89,2120.25,0,Micro
Last Value,Y4575,8.58,8.19,2214.5,0,Micro
Mean Value,Y4575,78.26,56.24,15066.45,0,Micro
Random Walk,Y4575,16.31,14.81,3937.53,0,Micro
Arima,Y4575,7.52,7.88,1991.32,0,Micro
Theta,Y4575,155.84,87.58,23451.5,0,Micro
Prophet,Y4575,78.12,56.16,15045.74,0,Micro
Last Value,Y4576,5.13,5.32,405.0,0,Micro
Mean Value,Y4576,3.62,3.51,280.11,0,Micro
Random Walk,Y4576,4.65,4.82,349.54,0,Micro
Arima,Y4576,5.4,5.6,427.13,0,Micro
Theta,Y4576,3.71,3.58,281.0,0,Micro
Prophet,Y4576,11.5,12.29,945.97,0,Micro
Last Value,Y4577,8.49,8.96,1360.0,0,Micro
Mean Value,Y4577,5.45,5.64,855.56,0,Micro
Random Walk,Y4577,8.54,9.02,1368.39,0,Micro
Arima,Y4577,8.46,8.93,1355.58,0,Micro
Theta,Y4577,4.42,4.45,560.0,0,Micro
Prophet,Y4577,10.79,11.53,1754.03,0,Micro
Last Value,Y4578,4.58,4.52,720.0,0,Micro
Mean Value,Y4578,4.95,5.12,780.0,0,Micro
Random Walk,Y4578,3.3,3.31,507.34,0,Micro
Arima,Y4578,5.87,5.65,916.13,0,Micro
Theta,Y4578,5.65,5.82,550.0,0,Micro
Prophet,Y4578,5.2,5.43,821.11,0,Micro
Last Value,Y4579,11.79,10.9,3251.1,0,Micro
Mean Value,Y4579,72.42,53.09,15207.33,0,Micro
Random Walk,Y4579,28.56,23.34,7011.06,0,Micro
Arima,Y4579,20.37,18.09,5338.1,0,Micro
Theta,Y4579,158.51,88.43,25197.3,0,Micro
Prophet,Y4579,55.56,43.38,12451.81,0,Micro
Last Value,Y4580,6.04,5.77,1230.0,0,Micro
Mean Value,Y4580,5.74,5.5,1171.0,0,Micro
Random Walk,Y4580,9.85,9.12,1946.08,0,Micro
Arima,Y4580,16.24,14.85,3108.83,0,Micro
Theta,Y4580,11.01,10.41,2160.0,0,Micro
Prophet,Y4580,5.04,5.27,996.34,0,Micro
Last Value,Y4581,5.32,5.14,526.0,0,Micro
Mean Value,Y4581,12.06,11.25,1139.4,0,Micro
Random Walk,Y4581,11.33,10.41,1071.71,0,Micro
Arima,Y4581,22.63,19.74,2008.84,0,Micro
Theta,Y4581,24.74,22.0,2187.0,0,Micro
Prophet,Y4581,12.72,13.62,1333.6,0,Micro
Last Value,Y4582,9.6,8.98,2950.0,0,Micro
Mean Value,Y4582,22.66,20.2,6470.0,0,Micro
Random Walk,Y4582,9.24,8.56,2834.75,0,Micro
Arima,Y4582,22.47,19.69,6399.03,0,Micro
Theta,Y4582,32.19,27.71,8690.0,0,Micro
Prophet,Y4582,5.82,6.06,1348.01,0,Micro
Last Value,Y4583,3.76,3.69,1830.0,0,Micro
Mean Value,Y4583,16.21,14.93,7321.0,0,Micro
Random Walk,Y4583,3.12,3.18,1054.19,0,Micro
Arima,Y4583,5.27,5.06,2530.99,0,Micro
Theta,Y4583,31.21,26.99,13090.0,0,Micro
Prophet,Y4583,8.35,8.74,3577.46,0,Micro
Last Value,Y4584,2.87,2.81,440.0,0,Micro
Mean Value,Y4584,6.81,6.52,1011.0,0,Micro
Random Walk,Y4584,8.58,8.11,1255.18,0,Micro
Arima,Y4584,6.38,6.07,947.74,0,Micro
Theta,Y4584,21.87,19.69,3000.0,0,Micro
Prophet,Y4584,13.06,14.0,2113.9,0,Micro
Last Value,Y4585,6.41,6.1,2510.0,0,Micro
Mean Value,Y4585,19.24,17.45,7002.0,0,Micro
Random Walk,Y4585,11.29,10.39,4266.88,0,Micro
Arima,Y4585,13.87,12.77,5184.35,0,Micro
Theta,Y4585,20.9,18.89,7440.0,0,Micro
Prophet,Y4585,5.59,5.77,1617.1,0,Micro
Last Value,Y4586,8.91,8.36,1350.0,0,Micro
Mean Value,Y4586,17.21,15.7,2484.0,0,Micro
Random Walk,Y4586,11.65,10.73,1733.1,0,Micro
Arima,Y4586,16.96,15.45,2450.76,0,Micro
Theta,Y4586,19.32,17.61,2730.0,0,Micro
Prophet,Y4586,3.68,3.71,477.5,0,Micro
Last Value,Y4587,9.06,8.51,850.0,0,Micro
Mean Value,Y4587,13.49,12.49,1231.0,0,Micro
Random Walk,Y4587,9.34,8.73,856.48,0,Micro
Arima,Y4587,14.2,13.1,1290.43,0,Micro
Theta,Y4587,4.33,4.21,230.0,0,Micro
Prophet,Y4587,4.39,4.35,356.66,0,Micro
Last Value,Y4588,3.44,3.37,590.0,0,Micro
Mean Value,Y4588,9.19,8.72,1514.0,0,Micro
Random Walk,Y4588,3.13,3.16,377.98,0,Micro
Arima,Y4588,8.63,8.17,1425.15,0,Micro
Theta,Y4588,13.9,12.98,2210.0,0,Micro
Prophet,Y4588,12.07,12.86,2187.55,0,Micro
Last Value,Y4589,5.4,5.18,416.5,0,Micro
Mean Value,Y4589,8.88,8.41,668.28,0,Micro
Random Walk,Y4589,4.73,4.53,366.4,0,Micro
Arima,Y4589,28.31,24.2,1916.47,0,Micro
Theta,Y4589,30.28,26.01,2046.3,0,Micro
Prophet,Y4589,11.69,12.44,959.12,0,Micro
Last Value,Y4590,4.7,4.51,800.0,0,Micro
Mean Value,Y4590,14.18,13.16,2276.0,0,Micro
Random Walk,Y4590,2.8,2.73,465.65,0,Micro
Arima,Y4590,4.63,4.45,788.7,0,Micro
Theta,Y4590,11.87,11.2,1910.0,0,Micro
Prophet,Y4590,2.9,2.97,413.13,0,Micro
Last Value,Y4591,7.98,8.34,790.0,0,Micro
Mean Value,Y4591,7.55,7.87,745.0,0,Micro
Random Walk,Y4591,6.34,6.56,607.71,0,Micro
Arima,Y4591,9.78,9.3,887.02,0,Micro
Theta,Y4591,51.35,39.24,3710.0,0,Micro
Prophet,Y4591,32.36,38.82,3684.96,0,Micro
Last Value,Y4592,8.13,7.72,1350.0,0,Micro
Mean Value,Y4592,26.76,23.54,4044.0,0,Micro
Random Walk,Y4592,6.84,6.51,1144.48,0,Micro
Arima,Y4592,8.49,8.05,1406.63,0,Micro
Theta,Y4592,64.45,47.8,8250.0,0,Micro
Prophet,Y4592,1.89,1.87,234.3,0,Micro
Last Value,Y4593,2.5,2.54,410.0,0,Micro
Mean Value,Y4593,4.08,4.18,676.0,0,Micro
Random Walk,Y4593,2.05,2.05,225.64,0,Micro
Arima,Y4593,2.23,2.26,364.94,0,Micro
Theta,Y4593,7.5,7.46,1050.0,0,Micro
Prophet,Y4593,11.81,12.6,2046.37,0,Micro
Last Value,Y4594,5.9,5.67,2610.0,0,Micro
Mean Value,Y4594,4.14,4.12,1850.0,0,Micro
Random Walk,Y4594,9.84,9.16,4013.55,0,Micro
Arima,Y4594,8.12,7.69,3537.67,0,Micro
Theta,Y4594,16.68,15.33,6930.0,0,Micro
Prophet,Y4594,25.55,29.32,13069.23,0,Micro
Last Value,Y4595,10.39,11.52,860.0,0,Micro
Mean Value,Y4595,28.18,33.6,2656.0,0,Micro
Random Walk,Y4595,14.61,16.35,1237.89,0,Micro
Arima,Y4595,8.66,8.08,496.36,0,Micro
Theta,Y4595,26.31,31.87,2470.0,0,Micro
Prophet,Y4595,37.86,47.89,3804.76,0,Micro
Last Value,Y4596,4.4,4.26,2032.0,0,Micro
Mean Value,Y4596,3.0,2.98,1400.0,0,Micro
Random Walk,Y4596,3.36,3.27,1437.17,0,Micro
Arima,Y4596,18.31,16.63,7825.03,0,Micro
Theta,Y4596,7.25,6.95,3296.0,0,Micro
Prophet,Y4596,3.9,4.02,1709.44,0,Micro
Last Value,Y4597,4.95,4.77,633.0,0,Micro
Mean Value,Y4597,3.66,3.66,471.0,0,Micro
Random Walk,Y4597,3.39,3.3,435.02,0,Micro
Arima,Y4597,21.0,18.8,2454.32,0,Micro
Theta,Y4597,7.73,7.56,984.0,0,Micro
Prophet,Y4597,3.31,3.4,423.3,0,Micro
Last Value,Y4598,6.41,6.13,630.0,0,Micro
Mean Value,Y4598,12.17,11.39,1155.0,0,Micro
Random Walk,Y4598,9.8,9.23,941.08,0,Micro
Arima,Y4598,9.99,9.43,959.27,0,Micro
Theta,Y4598,38.29,31.87,3210.0,0,Micro
Prophet,Y4598,13.1,14.09,1395.01,0,Micro
Last Value,Y4599,3.25,3.18,1500.0,0,Micro
Mean Value,Y4599,15.45,14.28,6623.0,0,Micro
Random Walk,Y4599,6.19,5.89,2791.29,0,Micro
Arima,Y4599,2.96,2.91,1366.14,0,Micro
Theta,Y4599,26.14,22.92,10640.0,0,Micro
Prophet,Y4599,5.55,5.71,1823.89,0,Micro
Last Value,Y4600,1.04,1.04,70.0,0,Micro
Mean Value,Y4600,6.91,7.17,483.0,0,Micro
Random Walk,Y4600,2.26,2.29,124.16,0,Micro
Arima,Y4600,0.93,0.93,63.1,0,Micro
Theta,Y4600,8.53,9.09,610.0,0,Micro
Prophet,Y4600,7.23,6.94,470.0,0,Micro
Last Value,Y4601,16.2,17.74,1700.0,0,Micro
Mean Value,Y4601,32.4,38.81,3740.0,0,Micro
Random Walk,Y4601,14.17,15.35,1465.11,0,Micro
Arima,Y4601,10.22,10.85,1035.11,0,Micro
Theta,Y4601,19.23,21.66,1720.0,0,Micro
Prophet,Y4601,28.34,33.13,3192.51,0,Micro
Last Value,Y4602,3.43,3.5,270.0,0,Micro
Mean Value,Y4602,1.59,1.59,124.0,0,Micro
Random Walk,Y4602,4.87,5.02,387.4,0,Micro
Arima,Y4602,2.08,2.11,162.43,0,Micro
Theta,Y4602,22.6,19.73,1530.0,0,Micro
Prophet,Y4602,11.97,12.78,989.59,0,Micro
Last Value,Y4603,7.77,7.42,3230.0,0,Micro
Mean Value,Y4603,14.59,13.55,5849.0,0,Micro
Random Walk,Y4603,7.22,6.92,2913.86,0,Micro
Arima,Y4603,7.71,7.36,3204.5,0,Micro
Theta,Y4603,1.91,1.94,460.0,0,Micro
Prophet,Y4603,1.02,1.02,369.69,0,Micro
Last Value,Y4604,12.11,11.38,2340.0,0,Micro
Mean Value,Y4604,60.4,46.37,9471.0,0,Micro
Random Walk,Y4604,7.36,6.95,1040.74,0,Micro
Arima,Y4604,7.88,8.35,1528.19,0,Micro
Theta,Y4604,44.81,36.21,7350.0,0,Micro
Prophet,Y4604,27.7,24.31,4960.95,0,Micro
Last Value,Y4605,8.51,8.13,1260.0,0,Micro
Mean Value,Y4605,4.56,4.71,711.0,0,Micro
Random Walk,Y4605,7.9,7.57,1173.13,0,Micro
Arima,Y4605,14.45,13.42,2075.43,0,Micro
Theta,Y4605,23.9,20.38,3180.0,0,Micro
Prophet,Y4605,3.13,3.16,459.65,0,Micro
Last Value,Y4606,4.94,4.8,1660.0,0,Micro
Mean Value,Y4606,29.44,34.61,11732.0,0,Micro
Random Walk,Y4606,3.73,3.63,1254.75,0,Micro
Arima,Y4606,12.95,11.97,4149.96,0,Micro
Theta,Y4606,31.98,38.27,12950.0,0,Micro
Prophet,Y4606,6.27,6.68,2197.08,0,Micro
Last Value,Y4607,4.62,4.77,760.0,0,Micro
Mean Value,Y4607,20.4,18.48,3008.0,0,Micro
Random Walk,Y4607,5.35,5.55,820.86,0,Micro
Arima,Y4607,3.5,3.62,572.06,0,Micro
Theta,Y4607,53.44,41.95,6830.0,0,Micro
Prophet,Y4607,13.84,14.89,2419.12,0,Micro
Last Value,Y4608,6.37,6.04,850.0,0,Micro
Mean Value,Y4608,14.16,15.51,2000.0,0,Micro
Random Walk,Y4608,10.11,9.37,1244.16,0,Micro
Arima,Y4608,18.24,16.52,2254.58,0,Micro
Theta,Y4608,5.97,6.17,680.0,0,Micro
Prophet,Y4608,18.77,20.95,2729.32,0,Micro
Last Value,Y4609,4.52,4.38,287.0,0,Micro
Mean Value,Y4609,4.03,4.11,256.6,0,Micro
Random Walk,Y4609,6.51,6.21,399.36,0,Micro
Arima,Y4609,9.15,8.63,561.87,0,Micro
Theta,Y4609,4.12,4.22,165.0,0,Micro
Prophet,Y4609,4.33,4.48,276.75,0,Micro
Last Value,Y4610,5.97,5.72,740.0,0,Micro
Mean Value,Y4610,17.4,15.92,2017.0,0,Micro
Random Walk,Y4610,2.53,2.49,261.62,0,Micro
Arima,Y4610,5.61,5.38,696.73,0,Micro
Theta,Y4610,14.1,13.14,1660.0,0,Micro
Prophet,Y4610,1.95,1.98,216.37,0,Micro
Last Value,Y4611,5.17,5.0,429.0,0,Micro
Mean Value,Y4611,13.71,14.87,1212.1,0,Micro
Random Walk,Y4611,4.8,4.8,296.02,0,Micro
Arima,Y4611,13.29,12.3,1045.62,0,Micro
Theta,Y4611,14.96,16.79,1347.0,0,Micro
Prophet,Y4611,8.58,8.23,699.83,0,Micro
Last Value,Y4612,8.94,8.37,1280.0,0,Micro
Mean Value,Y4612,19.53,22.05,3085.0,0,Micro
Random Walk,Y4612,10.0,9.35,1366.95,0,Micro
Arima,Y4612,22.24,19.67,2936.61,0,Micro
Theta,Y4612,35.91,44.84,6310.0,0,Micro
Prophet,Y4612,21.04,18.28,2778.78,0,Micro
Last Value,Y4613,3.97,3.86,1830.0,0,Micro
Mean Value,Y4613,3.88,3.96,1795.0,0,Micro
Random Walk,Y4613,3.18,3.11,1451.5,0,Micro
Arima,Y4613,8.0,7.63,3583.77,0,Micro
Theta,Y4613,23.75,20.13,9540.0,0,Micro
Prophet,Y4613,5.97,6.22,2634.75,0,Micro
Last Value,Y4614,13.32,14.31,950.0,0,Micro
Mean Value,Y4614,19.64,21.82,1451.0,0,Micro
Random Walk,Y4614,14.94,16.2,1075.94,0,Micro
Arima,Y4614,11.42,12.15,805.72,0,Micro
Theta,Y4614,20.36,18.75,1180.0,0,Micro
Prophet,Y4614,19.67,21.87,1453.6,0,Micro
Last Value,Y4615,7.59,7.96,593.6,0,Micro
Mean Value,Y4615,7.75,7.41,569.6,0,Micro
Random Walk,Y4615,6.09,6.18,276.33,0,Micro
Arima,Y4615,6.24,6.5,483.34,0,Micro
Theta,Y4615,29.5,25.57,1944.1,0,Micro
Prophet,Y4615,17.66,19.52,1468.01,0,Micro
Last Value,Y4616,9.02,9.54,4460.0,0,Micro
Mean Value,Y4616,5.51,5.28,2596.67,0,Micro
Random Walk,Y4616,8.12,8.56,3053.01,0,Micro
Arima,Y4616,12.92,13.97,6547.42,0,Micro
Theta,Y4616,26.21,23.13,11080.0,0,Micro
Prophet,Y4616,13.52,14.7,6882.31,0,Micro
Last Value,Y4617,10.37,11.0,949.0,0,Micro
Mean Value,Y4617,2.83,2.74,248.0,0,Micro
Random Walk,Y4617,8.89,9.35,807.12,0,Micro
Arima,Y4617,12.72,13.68,1180.71,0,Micro
Theta,Y4617,9.65,9.11,806.0,0,Micro
Prophet,Y4617,15.98,17.52,1513.18,0,Micro
Last Value,Y4618,1.87,1.87,310.0,0,Micro
Mean Value,Y4618,12.84,12.05,2003.33,0,Micro
Random Walk,Y4618,4.08,4.19,419.83,0,Micro
Arima,Y4618,1.87,1.87,310.4,0,Micro
Theta,Y4618,10.4,9.83,1630.0,0,Micro
Prophet,Y4618,4.63,4.76,454.19,0,Micro
Last Value,Y4619,22.28,25.64,2520.0,0,Micro
Mean Value,Y4619,6.63,6.34,705.56,0,Micro
Random Walk,Y4619,29.04,35.18,3449.79,0,Micro
Arima,Y4619,22.25,25.6,2516.01,0,Micro
Theta,Y4619,58.91,44.47,4500.0,0,Micro
Prophet,Y4619,33.26,41.25,4062.14,0,Micro
Last Value,Y4620,20.04,22.37,9710.0,0,Micro
Mean Value,Y4620,3.49,3.52,1530.0,0,Micro
Random Walk,Y4620,20.17,22.65,9811.8,0,Micro
Arima,Y4620,10.45,11.09,4792.28,0,Micro
Theta,Y4620,16.67,15.33,6760.0,0,Micro
Prophet,Y4620,35.22,42.96,18722.27,0,Micro
Last Value,Y4621,8.39,8.9,1330.0,0,Micro
Mean Value,Y4621,11.25,12.07,1816.67,0,Micro
Random Walk,Y4621,9.56,10.07,1308.45,0,Micro
Arima,Y4621,5.9,5.96,793.65,0,Micro
Theta,Y4621,14.17,12.47,1910.0,0,Micro
Prophet,Y4621,44.72,57.84,8870.63,0,Micro
Last Value,Y4622,4.83,4.68,906.9,0,Micro
Mean Value,Y4622,77.51,55.85,10619.92,0,Micro
Random Walk,Y4622,4.93,5.25,890.18,0,Micro
Arima,Y4622,4.73,4.88,598.66,0,Micro
Theta,Y4622,166.81,90.95,17280.7,0,Micro
Prophet,Y4622,68.23,50.86,9671.55,0,Micro
Last Value,Y4623,8.9,8.41,2620.02,0,Micro
Mean Value,Y4623,87.47,60.83,18496.92,0,Micro
Random Walk,Y4623,22.56,19.67,6125.6,0,Micro
Arima,Y4623,2.37,2.4,583.38,0,Micro
Theta,Y4623,171.91,92.44,28060.26,0,Micro
Prophet,Y4623,72.87,53.38,16236.77,0,Micro
Last Value,Y4624,4.37,4.39,1388.4,0,Micro
Mean Value,Y4624,73.26,53.58,17143.35,0,Micro
Random Walk,Y4624,5.6,5.83,1337.87,0,Micro
Arima,Y4624,7.58,7.92,2141.08,0,Micro
Theta,Y4624,159.57,88.75,28326.9,0,Micro
Prophet,Y4624,60.44,46.38,14843.3,0,Micro
Last Value,Y4625,9.12,8.66,1699.85,0,Micro
Mean Value,Y4625,96.71,65.13,12348.63,0,Micro
Random Walk,Y4625,9.29,8.78,1497.73,0,Micro
Arima,Y4625,6.42,6.69,814.38,0,Micro
Theta,Y4625,187.03,96.65,18260.31,0,Micro
Prophet,Y4625,74.1,53.99,10252.72,0,Micro
Last Value,Y4626,8.97,8.43,1739.2,0,Micro
Mean Value,Y4626,82.44,58.3,11470.21,0,Micro
Random Walk,Y4626,26.82,22.46,4625.78,0,Micro
Arima,Y4626,6.26,6.48,732.86,0,Micro
Theta,Y4626,175.84,93.48,18357.1,0,Micro
Prophet,Y4626,73.14,53.47,10527.5,0,Micro
Last Value,Y4627,17.56,15.98,3889.3,0,Micro
Mean Value,Y4627,86.73,60.45,14430.72,0,Micro
Random Walk,Y4627,21.68,19.28,4692.49,0,Micro
Arima,Y4627,16.73,15.27,3721.84,0,Micro
Theta,Y4627,145.51,84.11,20012.2,0,Micro
Prophet,Y4627,76.05,55.04,13148.77,0,Micro
Last Value,Y4628,15.82,14.51,13208.1,0,Micro
Mean Value,Y4628,70.26,51.93,46390.37,0,Micro
Random Walk,Y4628,20.99,18.78,16973.44,0,Micro
Arima,Y4628,15.98,14.65,13331.99,0,Micro
Theta,Y4628,124.78,76.61,68188.2,0,Micro
Prophet,Y4628,65.71,49.39,44142.51,0,Micro
Last Value,Y4629,11.33,10.46,1748.5,0,Micro
Mean Value,Y4629,69.19,51.24,8088.99,0,Micro
Random Walk,Y4629,18.4,15.79,2552.69,0,Micro
Arima,Y4629,6.21,6.07,924.9,0,Micro
Theta,Y4629,147.1,84.74,13229.4,0,Micro
Prophet,Y4629,66.11,49.52,7820.43,0,Micro
Last Value,Y4630,9.86,9.15,3371.5,0,Micro
Mean Value,Y4630,92.48,63.18,22093.01,0,Micro
Random Walk,Y4630,10.0,9.62,3085.22,0,Micro
Arima,Y4630,7.84,7.37,2714.47,0,Micro
Theta,Y4630,168.24,91.36,31813.06,0,Micro
Prophet,Y4630,76.87,55.46,19412.01,0,Micro
Last Value,Y4631,34.87,29.47,9225.1,0,Micro
Mean Value,Y4631,92.1,62.99,19460.72,0,Micro
Random Walk,Y4631,58.46,44.27,13896.03,0,Micro
Arima,Y4631,27.24,23.53,7418.9,0,Micro
Theta,Y4631,163.02,89.8,27628.9,0,Micro
Prophet,Y4631,88.99,61.51,19007.06,0,Micro
Last Value,Y4632,34.14,28.9,16956.4,0,Micro
Mean Value,Y4632,78.98,56.5,32687.05,0,Micro
Random Walk,Y4632,35.63,29.93,17531.0,0,Micro
Arima,Y4632,26.89,23.25,13750.42,0,Micro
Theta,Y4632,154.74,87.22,50138.5,0,Micro
Prophet,Y4632,80.69,57.39,33183.84,0,Micro
Last Value,Y4633,6.68,6.4,1941.47,0,Micro
Mean Value,Y4633,90.82,62.42,18323.83,0,Micro
Random Walk,Y4633,14.38,15.74,3664.0,0,Micro
Arima,Y4633,5.27,5.43,986.87,0,Micro
Theta,Y4633,178.09,94.2,27584.97,0,Micro
Prophet,Y4633,69.19,51.36,15089.85,0,Micro
Last Value,Y4634,11.02,10.31,1676.1,0,Micro
Mean Value,Y4634,76.0,55.03,8724.01,0,Micro
Random Walk,Y4634,7.59,7.03,1151.78,0,Micro
Arima,Y4634,3.97,3.89,532.63,0,Micro
Theta,Y4634,167.88,91.26,14424.9,0,Micro
Prophet,Y4634,65.76,49.44,7842.23,0,Micro
Last Value,Y4635,13.23,11.92,1564.4,0,Micro
Mean Value,Y4635,59.55,45.6,5541.16,0,Micro
Random Walk,Y4635,33.91,27.08,3481.56,0,Micro
Arima,Y4635,14.42,12.89,1689.88,0,Micro
Theta,Y4635,124.26,76.59,9109.9,0,Micro
Prophet,Y4635,67.66,50.3,6094.94,0,Micro
Last Value,Y4636,8.58,8.13,5682.3,0,Micro
Mean Value,Y4636,79.06,56.57,37824.71,0,Micro
Random Walk,Y4636,12.74,13.58,5178.76,0,Micro
Arima,Y4636,4.58,4.62,2810.76,0,Micro
Theta,Y4636,155.38,87.42,58050.9,0,Micro
Prophet,Y4636,63.83,48.27,32338.97,0,Micro
Last Value,Y4637,16.24,14.02,5741.3,0,Micro
Mean Value,Y4637,77.93,55.66,19557.92,0,Micro
Random Walk,Y4637,20.06,16.83,6764.09,0,Micro
Arima,Y4637,11.34,10.17,4148.56,0,Micro
Theta,Y4637,186.92,96.66,33209.3,0,Micro
Prophet,Y4637,72.0,52.47,18504.3,0,Micro
Last Value,Y4638,5.09,4.96,1718.3,0,Micro
Mean Value,Y4638,70.11,51.87,17564.92,0,Micro
Random Walk,Y4638,8.84,8.31,2887.04,0,Micro
Arima,Y4638,3.64,3.74,1114.74,0,Micro
Theta,Y4638,160.34,88.99,30045.4,0,Micro
Prophet,Y4638,61.36,46.91,15891.77,0,Micro
Last Value,Y4639,8.65,9.22,2768.0,0,Micro
Mean Value,Y4639,75.08,54.52,17215.52,0,Micro
Random Walk,Y4639,14.69,14.63,4614.81,0,Micro
Arima,Y4639,19.42,21.56,6733.42,0,Micro
Theta,Y4639,170.43,92.02,28944.0,0,Micro
Prophet,Y4639,58.35,45.09,14257.79,0,Micro
Last Value,Y4640,6.37,6.38,1662.6,0,Micro
Mean Value,Y4640,76.47,55.24,14585.34,0,Micro
Random Walk,Y4640,10.24,9.72,2394.71,0,Micro
Arima,Y4640,9.66,10.31,2357.37,0,Micro
Theta,Y4640,169.97,91.88,24164.4,0,Micro
Prophet,Y4640,64.14,48.48,12812.76,0,Micro
Last Value,Y4641,4.88,4.71,1154.0,0,Micro
Mean Value,Y4641,72.86,53.38,12784.04,0,Micro
Random Walk,Y4641,15.1,13.72,3337.23,0,Micro
Arima,Y4641,2.66,2.7,362.23,0,Micro
Theta,Y4641,150.55,85.87,20527.3,0,Micro
Prophet,Y4641,61.74,47.16,11295.0,0,Micro
Last Value,Y4642,11.35,10.57,1673.59,0,Micro
Mean Value,Y4642,98.13,65.79,10094.67,0,Micro
Random Walk,Y4642,3.98,3.9,393.77,0,Micro
Arima,Y4642,2.25,2.22,263.13,0,Micro
Theta,Y4642,178.83,94.41,14448.12,0,Micro
Prophet,Y4642,76.26,55.16,8470.86,0,Micro
Last Value,Y4643,6.7,6.38,4984.3,0,Micro
Mean Value,Y4643,87.31,60.75,45897.0,0,Micro
Random Walk,Y4643,15.93,14.35,11041.08,0,Micro
Arima,Y4643,8.91,9.35,4373.75,0,Micro
Theta,Y4643,174.27,93.12,70217.31,0,Micro
Prophet,Y4643,69.94,51.79,39143.87,0,Micro
Last Value,Y4644,8.26,8.68,2094.3,0,Micro
Mean Value,Y4644,78.28,56.17,14265.62,0,Micro
Random Walk,Y4644,9.82,10.44,2200.11,0,Micro
Arima,Y4644,17.97,19.93,4513.24,0,Micro
Theta,Y4644,161.74,89.42,22590.8,0,Micro
Prophet,Y4644,65.49,49.22,12521.54,0,Micro
Last Value,Y4645,9.81,8.88,12927.9,0,Micro
Mean Value,Y4645,93.91,63.8,83592.84,0,Micro
Random Walk,Y4645,11.86,10.93,11461.33,0,Micro
Arima,Y4645,6.9,6.48,8984.55,0,Micro
Theta,Y4645,190.19,97.48,126874.5,0,Micro
Prophet,Y4645,66.61,49.79,65549.19,0,Micro
Last Value,Y4646,5.84,5.76,1233.0,0,Micro
Mean Value,Y4646,66.84,50.03,10605.52,0,Micro
Random Walk,Y4646,11.26,10.39,2286.39,0,Micro
Arima,Y4646,4.2,4.32,823.43,0,Micro
Theta,Y4646,164.98,90.4,19092.6,0,Micro
Prophet,Y4646,57.35,44.49,9439.88,0,Micro
Last Value,Y4647,6.05,5.84,1989.86,0,Micro
Mean Value,Y4647,96.43,65.03,21438.84,0,Micro
Random Walk,Y4647,4.99,5.16,860.5,0,Micro
Arima,Y4647,8.28,8.65,1663.92,0,Micro
Theta,Y4647,183.9,95.8,31513.62,0,Micro
Prophet,Y4647,71.85,52.81,17431.38,0,Micro
Last Value,Y4648,16.21,14.75,2675.9,0,Micro
Mean Value,Y4648,99.11,66.22,11637.78,0,Micro
Random Walk,Y4648,4.25,4.2,723.11,0,Micro
Arima,Y4648,5.65,5.44,771.5,0,Micro
Theta,Y4648,182.17,95.32,16687.4,0,Micro
Prophet,Y4648,78.2,56.15,9880.28,0,Micro
Last Value,Y4649,12.17,11.37,2219.9,0,Micro
Mean Value,Y4649,90.66,62.36,11959.88,0,Micro
Random Walk,Y4649,10.18,9.66,1592.33,0,Micro
Arima,Y4649,2.72,2.77,348.54,0,Micro
Theta,Y4649,157.91,88.21,16875.2,0,Micro
Prophet,Y4649,78.4,56.29,10800.46,0,Micro
Last Value,Y4650,5.18,5.0,645.35,0,Micro
Mean Value,Y4650,85.99,60.12,7593.89,0,Micro
Random Walk,Y4650,7.32,6.95,891.77,0,Micro
Arima,Y4650,9.21,9.72,888.52,0,Micro
Theta,Y4650,160.54,89.03,11230.22,0,Micro
Prophet,Y4650,70.52,52.12,6584.22,0,Micro
Last Value,Y4651,7.81,7.41,1726.6,0,Micro
Mean Value,Y4651,86.46,60.34,13661.11,0,Micro
Random Walk,Y4651,4.38,4.14,620.63,0,Micro
Arima,Y4651,4.23,4.36,742.63,0,Micro
Theta,Y4651,169.25,91.67,20720.2,0,Micro
Prophet,Y4651,79.52,56.87,12877.7,0,Micro
Last Value,Y4652,6.22,5.95,1728.5,0,Micro
Mean Value,Y4652,70.2,51.89,14438.65,0,Micro
Random Walk,Y4652,12.04,11.06,2867.62,0,Micro
Arima,Y4652,4.93,4.8,1354.17,0,Micro
Theta,Y4652,154.42,87.13,24129.8,0,Micro
Prophet,Y4652,59.19,45.6,12699.57,0,Micro
Last Value,Y4653,25.81,22.27,9155.9,0,Micro
Mean Value,Y4653,62.86,47.51,18784.67,0,Micro
Random Walk,Y4653,19.79,17.67,6439.54,0,Micro
Arima,Y4653,21.14,18.55,7697.2,0,Micro
Theta,Y4653,130.06,78.79,30644.3,0,Micro
